,Title,Year,Rating,Link
113,Metropolis,1927,8.2,/title/tt0017136/
114,Taxi Driver,1976,8.2,/title/tt0075314/
115,L.A. Confidential,1997,8.2,/title/tt0119488/
116,Top Gun: Maverick,2022,8.2,/title/tt1745960/
117,Die Hard,1988,8.2,/title/tt0095016/
118,Snatch,2000,8.2,/title/tt0208092/
119,Indiana Jones and the Last Crusade,1989,8.2,/title/tt0097576/
120,Ladri di biciclette,1948,8.2,/title/tt0040522/
121,Taare Zameen Par,2007,8.2,/title/tt0986264/
122,1917,2019,8.2,/title/tt8579674/
123,Der Untergang,2004,8.2,/title/tt0363163/
124,Dangal,2016,8.2,/title/tt5074352/
125,Per qualche dollaro in più,1965,8.2,/title/tt0059578/
126,Batman Begins,2005,8.2,/title/tt0372784/
127,The Kid,1921,8.2,/title/tt0012349/
128,Some Like It Hot,1959,8.2,/title/tt0053291/
129,The Father,2020,8.2,/title/tt10272386/
130,All About Eve,1950,8.2,/title/tt0042192/
131,The Wolf of Wall Street,2013,8.2,/title/tt0993846/
132,Green Book,2018,8.2,/title/tt6966692/
133,Judgment at Nuremberg,1961,8.2,/title/tt0055031/
134,Ran,1985,8.2,/title/tt0089881/
135,Casino,1995,8.2,/title/tt0112641/
136,The Truman Show,1998,8.2,/title/tt0120382/
137,There Will Be Blood,2007,8.2,/title/tt0469494/
138,Pan's Labyrinth,2006,8.2,/title/tt0457430/
139,Unforgiven,1992,8.2,/title/tt0105695/
140,The Sixth Sense,1999,8.2,/title/tt0167404/
141,Shutter Island,2010,8.2,/title/tt1130884/
142,A Beautiful Mind,2001,8.2,/title/tt0268978/
143,Jurassic Park,1993,8.1,/title/tt0107290/
144,Yôjinbô,1961,8.1,/title/tt0055630/
145,The Treasure of the Sierra Madre,1948,8.1,/title/tt0040897/
146,Monty Python and the Holy Grail,1975,8.1,/title/tt0071853/
147,No Country for Old Men,2007,8.1,/title/tt0477348/
148,The Great Escape,1963,8.1,/title/tt0057115/
149,Kill Bill: Vol. 1,2003,8.1,/title/tt0266697/
150,Rashômon,1950,8.1,/title/tt0042876/
151,Spider-Man: No Way Home,2021,8.1,/title/tt10872600/
152,The Thing,1982,8.1,/title/tt0084787/
153,Finding Nemo,2003,8.1,/title/tt0266543/
154,The Elephant Man,1980,8.1,/title/tt0080678/
155,Chinatown,1974,8.1,/title/tt0071315/
156,Raging Bull,1980,8.1,/title/tt0081398/
157,V for Vendetta,2005,8.1,/title/tt0434409/
158,Gone with the Wind,1939,8.1,/title/tt0031381/
159,"Lock, Stock and Two Smoking Barrels",1998,8.1,/title/tt0120735/
160,Inside Out,2015,8.1,/title/tt2096673/
161,Dial M for Murder,1954,8.1,/title/tt0046912/
162,El secreto de sus ojos,2009,8.1,/title/tt1305806/
163,Hauru no ugoku shiro,2004,8.1,/title/tt0347149/
164,"Three Billboards Outside Ebbing, Missouri",2017,8.1,/title/tt5027774/
165,Trainspotting,1996,8.1,/title/tt0117951/
166,The Bridge on the River Kwai,1957,8.1,/title/tt0050212/
167,Prisoners,2013,8.1,/title/tt1392214/
168,Warrior,2011,8.1,/title/tt1291584/
169,Fargo,1996,8.1,/title/tt0116282/
170,Gran Torino,2008,8.1,/title/tt1205489/
171,Tonari no Totoro,1988,8.1,/title/tt0096283/
172,Catch Me If You Can,2002,8.1,/title/tt0264464/
173,Million Dollar Baby,2004,8.1,/title/tt0405159/
174,Bacheha-Ye aseman,1997,8.1,/title/tt0118849/
175,Blade Runner,1982,8.1,/title/tt0083658/
176,The Gold Rush,1925,8.1,/title/tt0015864/
177,Klaus,2019,8.1,/title/tt4729430/
